geometry,pipeline,q,standardize,classifier,cv_accuracy,cv_acc_std,cv_precision,cv_recall,cv_auc,cv_runtime_s,ho_accuracy,ho_precision,ho_recall,ho_auc,ho_runtime_s
AI,A-Full,,False,knn,0.9010833389780757,0.007852996441538489,0.9073276494910232,0.9010879284649776,0.9878212866105015,369.60641384124756,0.9039270687237027,0.9104556064221118,0.9039030736705155,0.9851379339025435,90.17905378341675
AI,A-Full,,True,knn,0.9446824267876901,0.007290766052266811,0.9479351189205133,0.9446845504222553,0.9939514489437569,342.75938510894775,0.9537166900420757,0.9548659709898666,0.9537214723261234,0.996390422867277,86.55264687538147
AI,B-PCA,5.0,False,knn,0.7297057960215855,0.011958562553485893,0.731650363164114,0.7296323894684551,0.9397460140527082,406.692462682724,0.7517531556802244,0.7591648658470395,0.7518241448474007,0.9487358906000911,102.27876043319702
AI,B-PCA,5.0,True,knn,0.7675869854817223,0.014056306924149647,0.7720571648851009,0.7675211127670144,0.9507395092619673,301.9052119255066,0.788218793828892,0.7899813849020034,0.7883449883449883,0.9539354710908176,79.14664220809937
AI,B-PCA,10.0,False,knn,0.8087787035155458,0.008380209440639292,0.8164974989953061,0.8087729756582217,0.9689158992885482,353.40304040908813,0.814866760168303,0.8212562406245696,0.8148479427549195,0.964922128876215,96.3608877658844
AI,B-PCA,10.0,True,knn,0.8613989929779404,0.01365276614495236,0.8658971720674187,0.8614157973174367,0.9795960539053696,328.1301472187042,0.8695652173913043,0.8717863202267284,0.8696319184691277,0.9806169384141509,87.63440823554993
AI,B-PCA,20.0,False,knn,0.8689119194382353,0.008835211770130861,0.8755392337611372,0.8688872329855937,0.983157199898178,372.46439003944397,0.8751753155680224,0.8800859566172549,0.8751179053504635,0.9774716430761538,91.44135665893555
AI,B-PCA,20.0,True,knn,0.9128131138657455,0.012285434654810265,0.9153677838866322,0.9127918529557875,0.9909041638053665,319.2047166824341,0.9151472650771388,0.9167997794690645,0.9151731988941291,0.9900904877810813,84.39292216300964
AI,C-UMAP,5.0,False,knn,0.7648824764614238,0.008544510692755249,0.776906695128017,0.7648981619473423,0.9276104628774167,494.2287178039551,0.7896213183730715,0.8020884249047353,0.7896243291592129,0.9337794920188397,124.54281067848206
AI,C-UMAP,5.0,True,knn,0.8824448508659035,0.006547794773425781,0.8892368293962265,0.8824143070044709,0.9669465404974135,511.0108118057251,0.8884992987377279,0.8943858306109955,0.8885184582859001,0.9631370387082174,141.5100235939026
AI,C-UMAP,10.0,False,knn,0.7609727020253336,0.011480871583747604,0.772206426526655,0.7609587680079484,0.9281446149477084,484.07077980041504,0.7945301542776999,0.8083557406082498,0.7945411177969318,0.9366599615057222,141.57664012908936
AI,C-UMAP,10.0,True,knn,0.8830504188398927,0.013549020229543239,0.8894344918771392,0.8830054644808744,0.9648966970432094,474.23654985427856,0.8877980364656382,0.8941645849572212,0.8878408413292133,0.9661543697972054,126.8462598323822
AI,C-UMAP,20.0,False,knn,0.7579665379665379,0.013365715228135566,0.7703272236188361,0.7579334326875311,0.9271199173044584,465.6568965911865,0.7924263674614306,0.8034951579026217,0.7924594785059902,0.9350433252219686,130.74814438819885
AI,C-UMAP,20.0,True,knn,0.8818442502653028,0.008631366297351456,0.8884532420631579,0.8818281172379532,0.9659595644597448,475.87548327445984,0.8948106591865358,0.8998570363421259,0.894828427386567,0.965335480937713,131.39479041099548
AI,A-Full,,False,lr,0.9344523470839261,0.0074287528240076055,0.9358285076402846,0.9344361649279682,0.9969211645434214,320.63520979881287,0.9417952314165497,0.9422472697587182,0.9417899929527835,0.9976430188790032,81.06824994087219
