rank,geometry,pipeline,q,standardize,classifier,cv_accuracy,cv_acc_std,ho_accuracy,ho_precision,ho_recall,ho_auc,full_cv_accuracy,full_cv_acc_std,full_cv_precision,full_cv_recall,full_cv_auc,full_cv_runtime_s,full_ho_accuracy,full_ho_precision,full_ho_recall,full_ho_auc,full_ho_runtime_s
1,AI,A-Full,,True,lr,0.9779,0.0161,1.0,1.0,1.0,1.0,0.974142112036849,0.006196492542603903,0.9745500365150489,0.9741530054644809,0.9990302768080422,205.14259696006775,0.9810659186535764,0.9812263904164431,0.9810592508266928,0.9997620750138112,64.32036137580872
2,BW,A-Full,,True,lr,0.9653,0.0208,1.0,1.0,1.0,1.0,0.9786515839147418,0.005973765319935975,0.9789431143903405,0.9786636860407352,0.9993053955447451,1916.208902835846,0.9789621318373072,0.979375040214027,0.9789613487287906,0.9995711865206466,322.6448452472687
3,LOGE,B-PCA,20.0,False,svm,0.9715,0.0155,1.0,1.0,1.0,1.0,0.9666237666237667,0.006626730351040732,0.9674074669215502,0.9665772478887231,0.9993066485118198,10.356067657470703,0.9733520336605891,0.9735419121501966,0.9733344175204639,0.9996657054173131,3.254626989364624
4,LOGE,B-PCA,20.0,True,svm,0.9779,0.016,1.0,1.0,1.0,1.0,0.9663288852762537,0.006610617377350465,0.9672156241279588,0.9663040238450075,0.999304746662731,10.639883756637573,0.9740532959326789,0.9743853736493218,0.9740554019623787,0.9994306350272787,3.0766937732696533
5,LOGE,A-Full,,False,svm,0.9937,0.0077,1.0,1.0,1.0,1.0,0.9918819571451151,0.0036343753050945304,0.9920544463092495,0.991872826626925,0.9998588344252057,14.45224118232727,0.9908835904628331,0.9909831764027011,0.9908711443595165,0.9999663914934619,4.379514217376709
