geometry,pipeline,q,standardize,classifier,accuracy,acc_std,precision,recall,auc,runtime_s
AI,A-Full,,False,knn,0.8536075949367088,0.04250771629434082,0.8842016569289296,0.8532467532467531,0.9755185264416164,81.51618647575378
AI,A-Full,,True,knn,0.9166772151898733,0.03258657874900297,0.9356251828979101,0.9155844155844157,0.9901427065053946,44.04179406166077
AI,B-PCA,5.0,False,knn,0.7121835443037974,0.02858805482549198,0.753354675627403,0.7116883116883117,0.9422595369678983,41.51458191871643
AI,B-PCA,5.0,True,knn,0.8132278481012658,0.031721680624316705,0.8406883520519886,0.8133116883116884,0.9658580587057701,52.48268365859985
AI,B-PCA,10.0,False,knn,0.8105696202531647,0.03770983592757979,0.8400733609824519,0.8103896103896104,0.9649428987095396,55.87548470497131
AI,B-PCA,10.0,True,knn,0.886392405063291,0.02759522703366032,0.9046707333070969,0.8860389610389611,0.9861987795216018,92.64330101013184
AI,B-PCA,20.0,False,knn,0.8485443037974683,0.03811135742548841,0.8779469015832652,0.8487012987012987,0.9718209540033895,36.6016321182251
AI,B-PCA,20.0,True,knn,0.9040506329113924,0.006012325107360949,0.9248071625344352,0.9029220779220779,0.9901453888162237,119.5768461227417
AI,C-UMAP,5.0,False,knn,0.7577215189873419,0.02995055477705369,0.7915342738070009,0.7584415584415585,0.9272094911206551,44.88864016532898
AI,C-UMAP,5.0,True,knn,0.8484810126582278,0.03397407986786588,0.8858193321829685,0.8487012987012987,0.9625422192070369,276.92450642585754
AI,C-UMAP,10.0,False,knn,0.752626582278481,0.02848023908935393,0.7798505534869171,0.7535714285714284,0.9271336173085281,47.74417448043823
AI,C-UMAP,10.0,True,knn,0.8586075949367089,0.01657986261269157,0.8909740259740259,0.8587662337662337,0.9581569020112095,272.2431802749634
AI,C-UMAP,20.0,False,knn,0.7375316455696203,0.047869026299869645,0.7829154179154179,0.7373376623376623,0.9335468258736034,45.15885591506958
AI,C-UMAP,20.0,True,knn,0.8610759493670888,0.011687459058619879,0.8916144966144965,0.8613636363636363,0.9596648131141908,160.98340964317322
AI,A-Full,,False,lr,0.9117721518987342,0.03691257312622505,0.9280086580086581,0.9113636363636364,0.995926610409656,37.06579399108887
AI,A-Full,,True,lr,0.9822784810126584,0.012908910160994394,0.9845959595959595,0.9821428571428573,0.9990981240981242,191.6373908519745
AI,B-PCA,5.0,False,lr,0.6362974683544304,0.042402654380850974,0.6765901033013333,0.6379870129870129,0.941849679786203,46.45481872558594
AI,B-PCA,5.0,True,lr,0.772753164556962,0.05816455696202533,0.7836547291092745,0.773051948051948,0.977032533863761,182.9962649345398
AI,B-PCA,10.0,False,lr,0.7879430379746836,0.03192289872343339,0.8403677383222838,0.7899350649350649,0.978926197457333,40.679372787475586
AI,B-PCA,10.0,True,lr,0.8813924050632911,0.03417158884771827,0.8984626484626483,0.8808441558441558,0.9917470585586299,172.07637238502502
AI,B-PCA,20.0,False,lr,0.8713607594936708,0.04122313743234573,0.8981070444706807,0.871103896103896,0.9904868666475121,41.75584864616394
AI,B-PCA,20.0,True,lr,0.9091455696202531,0.030170760608672402,0.9218614718614718,0.9084415584415586,0.9944760971042805,154.34286975860596
AI,C-UMAP,5.0,False,lr,0.6010126582278481,0.04967705351457634,0.6423527482618392,0.601948051948052,0.9301752825309405,57.99611449241638
AI,C-UMAP,5.0,True,lr,0.7804746835443037,0.03670716931939042,0.8125972007790189,0.7801948051948052,0.9716648044486652,185.10987663269043
AI,C-UMAP,10.0,False,lr,0.6363924050632911,0.051265822784810094,0.6693418556456835,0.6366883116883117,0.946926511156325,188.5135259628296
AI,C-UMAP,10.0,True,lr,0.8181329113924051,0.022413375415863787,0.8477636504909233,0.8185064935064936,0.9750676145916597,156.04820609092712
AI,C-UMAP,20.0,False,lr,0.6820569620253164,0.05015634105783202,0.708566761521307,0.6837662337662337,0.9496118914608449,55.64500546455383
AI,C-UMAP,20.0,True,lr,0.8131962025316455,0.03750815752751387,0.8488902007083826,0.813961038961039,0.9785706298814055,161.99108386039734
AI,A-Full,,False,svm,0.8889873417721519,0.04995046416574459,0.9095389963571782,0.8902597402597404,0.9954778101290739,47.41572165489197
AI,A-Full,,True,svm,0.9798101265822783,0.01288468322035245,0.9823232323232325,0.9795454545454547,0.9995310245310245,143.48875260353088
AI,B-PCA,5.0,False,svm,0.6691772151898734,0.0371274691638385,0.6926897451299365,0.6704545454545455,0.9637311432591676,42.38502645492554
AI,B-PCA,5.0,True,svm,0.8133227848101268,0.04144487248787203,0.8538818757000575,0.813961038961039,0.985904636689655,147.3930060863495
AI,B-PCA,10.0,False,svm,0.7879430379746835,0.019446041599482402,0.8308694083694084,0.7899350649350649,0.9845597453546517,150.52819752693176
AI,B-PCA,10.0,True,svm,0.8991455696202533,0.03320035028569869,0.9164233241505968,0.9,0.9961893655067252,165.13067841529846
AI,B-PCA,20.0,False,svm,0.8536392405063292,0.03199960192429855,0.8843704275522457,0.8551948051948053,0.9908050706689284,34.20949721336365
AI,B-PCA,20.0,True,svm,0.9545569620253165,0.017134958236979952,0.9598773448773448,0.95487012987013,0.998350605048584,184.82087802886963
AI,C-UMAP,5.0,False,svm,0.5176898734177214,0.04244193560351355,0.4688040747131656,0.5191558441558441,0.92838574184139,110.0753128528595
AI,C-UMAP,5.0,True,svm,0.7425316455696203,0.0371695233462946,0.8049595354140809,0.7441558441558441,0.9717719924779061,187.8790283203125
AI,C-UMAP,10.0,False,svm,0.5150949367088609,0.03867130041834003,0.48120631893359167,0.5165584415584414,0.9301316651813469,91.90599989891052
AI,C-UMAP,10.0,True,svm,0.7374367088607595,0.022359694464563474,0.7959487588434957,0.738961038961039,0.9755057273904949,202.78402709960938
AI,C-UMAP,20.0,False,svm,0.5025316455696203,0.037890201385052544,0.4406406830808745,0.5035714285714286,0.9244429859216179,52.489075660705566
AI,C-UMAP,20.0,True,svm,0.7120886075949368,0.033633985680998575,0.7460172151081242,0.712987012987013,0.9711562668525335,259.55570888519287
BW,A-Full,,False,knn,0.8889556962025317,0.043190394657545886,0.9140220385674933,0.8886363636363637,0.9848065244761777,491.26960277557373
BW,A-Full,,True,knn,0.8990189873417721,0.02387351504067578,0.9237675455857275,0.8977272727272728,0.9910528977448475,500.48273849487305
BW,B-PCA,5.0,False,knn,0.7424367088607595,0.027113513334713863,0.7743015570288299,0.7428571428571429,0.9463675621252075,508.51499223709106
BW,B-PCA,5.0,True,knn,0.7853797468354431,0.038223027611235465,0.8162026862026863,0.7850649350649351,0.9601894932971288,623.2941341400146
BW,B-PCA,10.0,False,knn,0.8333544303797469,0.018382344552624462,0.8579772752500026,0.8331168831168831,0.9695480997058873,511.09262681007385
BW,B-PCA,10.0,True,knn,0.8612341772151899,0.032286236348060646,0.884580217762036,0.861038961038961,0.9774229210185702,628.1636245250702
BW,B-PCA,20.0,False,knn,0.8662341772151899,0.03417305413019388,0.8900892037255673,0.8655844155844157,0.9768554748130404,492.19473147392273
BW,B-PCA,20.0,True,knn,0.8939556962025316,0.015057572576891269,0.9136888364161091,0.8931818181818182,0.9915957150645676,613.207603931427
BW,C-UMAP,5.0,False,knn,0.7903481012658228,0.0459297042700848,0.832714911351275,0.7905844155844155,0.9401385777651937,579.6620903015137
BW,C-UMAP,5.0,True,knn,0.8282278481012659,0.023814967979987677,0.8583852511125238,0.8282467532467532,0.9576604970211473,721.3048355579376
BW,C-UMAP,10.0,False,knn,0.7702848101265822,0.03813683734189185,0.8150480832299014,0.77012987012987,0.9437927799431153,594.9185457229614
BW,C-UMAP,10.0,True,knn,0.8408227848101266,0.05058938002124699,0.8733636060908788,0.8412337662337661,0.9636124138110802,647.4898481369019
BW,C-UMAP,20.0,False,knn,0.775253164556962,0.03701335953204926,0.8244748181111818,0.775974025974026,0.9364013418410003,557.1113743782043
BW,C-UMAP,20.0,True,knn,0.8383860759493672,0.021745733898804798,0.8722200022200022,0.837987012987013,0.9612499048184221,660.4998033046722
BW,A-Full,,False,lr,0.9344936708860759,0.03281998015813714,0.9452184179456907,0.9337662337662337,0.9955375439644927,545.9349746704102
